t,max_h,M_s
12800.0,9.822872507286887,-616.0
12820.0,9.79855052384247,-556.0
12840.0,9.772681235681933,-610.0
12860.0,9.745268727865772,-640.0
12880.0,9.716317329146742,-616.0
12900.0,9.68583161128631,-692.0
12920.0,9.653816388332741,-744.0
12940.0,9.620276715860863,-784.0
12960.0,9.58521789017376,-744.0
12980.0,9.548645447466429,-792.0
13000.0,9.510565162951536,-746.0
13020.0,9.47098304994744,-680.0
13040.0,9.429905358928645,-694.0
13060.0,9.387338576538744,-702.0
13080.0,9.34328942456612,-776.0
13100.0,9.297764858882516,-748.0
13120.0,9.250772068344586,-798.0
13140.0,9.202318473658705,-848.0
13160.0,9.15241172620918,-716.0
13180.0,9.101059706849957,-740.0
13200.0,9.048270524660193,-712.0
13220.0,8.99405251566371,-742.0
13240.0,8.93841424151264,-634.0
13260.0,8.881364488135445,-694.0
13280.0,8.822912264349537,-668.0
13300.0,8.763066800438633,-640.0
13320.0,8.701837546695257,-674.0
13340.0,8.63923417192836,-638.0
13360.0,8.575266561936523,-670.0
13380.0,8.509944817946923,-660.0
13400.0,8.443279255020151,-572.0
13420.0,8.375280400421412,-586.0
13440.0,8.305958991958125,-598.0
13460.0,8.235325976284276,-550.0
13480.0,8.163392507171837,-474.0
13500.0,8.090169943749476,-544.0
13520.0,8.015669848708772,-606.0
13540.0,7.939903986478354,-614.0
13560.0,7.862884321366195,-532.0
13580.0,7.7846230156702445,-540.0
13600.0,7.705132427757897,-508.0
13620.0,7.624425110114476,-440.0
13640.0,7.542513807361041,-450.0
13660.0,7.459411454241818,-484.0
13680.0,7.375131173581741,-412.0
13700.0,7.289686274214122,-362.0
13720.0,7.20309024887907,-360.0
13740.0,7.115356772092859,-366.0
13760.0,7.026499697988491,-364.0
13780.0,6.936533058128054,-438.0
13800.0,6.845471059286897,-398.0
13820.0,6.753328081210247,-336.0
13840.0,6.660118674342512,-406.0
13860.0,6.565857557529567,-372.0
13880.0,6.4705596156944365,-384.0
13900.0,6.3742398974868975,-376.0
13920.0,6.276913612907011,-280.0
13940.0,6.178596130903342,-306.0
13960.0,6.0793029769460585,-346.0
13980.0,5.9790498305752,-402.0
14000.0,5.877852522924734,-368.0
14020.0,5.775727034222685,-374.0
14040.0,5.672689491267566,-410.0
14060.0,5.568756164881873,-380.0
14080.0,5.46394346734269,-430.0
14100.0,5.358267949789973,-442.0
14120.0,5.251746299612955,-472.0
14140.0,5.144395337815069,-466.0
14160.0,5.036232016357603,-530.0
14180.0,4.927273415482918,-538.0
14200.0,4.817536741017162,-590.0
14220.0,4.707039321653326,-432.0
14240.0,4.595798606214886,-432.0
14260.0,4.483832160900337,-546.0
14280.0,4.371157666509319,-480.0
14300.0,4.2577929156507235,-570.0
14320.0,4.143755809932845,-524.0
14340.0,4.029064357136622,-532.0
14360.0,3.913736668372026,-526.0
14380.0,3.7977909552180202,-514.0
14400.0,3.6812455268467796,-500.0
14420.0,3.5641187871325144,-530.0
14440.0,3.446429231745185,-510.0
14460.0,3.3281954452298717,-488.0
14480.0,3.2094360980721075,-536.0
14500.0,3.090169943749478,-546.0
14520.0,2.970415815770343,-534.0
14540.0,2.850192624699763,-516.0
14560.0,2.7295193551732613,-508.0
14580.0,2.6084150628989686,-478.0
14600.0,2.4868988716485547,-498.0
14620.0,2.364989970237244,-488.0
14640.0,2.2427076094938165,-524.0
14660.0,2.120071099220559,-494.0
14680.0,1.9970998051440731,-454.0
14700.0,1.873813145857257,-530.0
14720.0,1.7502305897527612,-432.0
14740.0,1.626371651948827,-474.0
14760.0,1.5022558912075692,-448.0
14780.0,1.377902906846387,-480.0
14800.0,1.253332335643039,-480.0
14820.0,1.1285638487348213,-496.0
14840.0,1.003617148512161,-608.0
14860.0,0.878511965507434,-650.0
14880.0,0.7532680552793372,-640.0
14900.0,0.6279051952931516,-612.0
14920.0,0.5024431817977035,-564.0
14940.0,0.37690182669934336,-486.0
14960.0,0.2513009544333806,-416.0
14980.0,0.12566039883352192,-430.0
15000.0,3.673940397442059e-15,-470.0
15020.0,-0.1256603988335146,-434.0
15040.0,-0.25130095443337325,-430.0
15060.0,-0.37690182669933603,-408.0
15080.0,-0.5024431817976961,-414.0
15100.0,-0.6279051952931265,-416.0
15120.0,-0.7532680552793123,-408.0
15140.0,-0.8785119655074267,-426.0
15160.0,-1.0036171485121537,-386.0
15180.0,-1.128563848734814,-430.0
15200.0,-1.2533323356430492,-452.0
15220.0,-1.3779029068463797,-582.0
15240.0,-1.502255891207562,-614.0
15260.0,-1.6263716519488371,-674.0
15280.0,-1.750230589752754,-624.0
15300.0,-1.8738131458572322,-574.0
15320.0,-1.9970998051440658,-502.0
15340.0,-2.1200710992205343,-568.0
15360.0,-2.2427076094938094,-566.0
15380.0,-2.364989970237254,-400.0
15400.0,-2.4868988716485476,-436.0
15420.0,-2.6084150628989615,-478.0
15440.0,-2.729519355173254,-540.0
15460.0,-2.8501926246997558,-540.0
15480.0,-2.970415815770353,-584.0
15500.0,-3.0901699437494705,-362.0
15520.0,-3.209436098072084,-460.0
15540.0,-3.328195445229865,-476.0
15560.0,-3.446429231745162,-500.0
15580.0,-3.5641187871325073,-514.0
15600.0,-3.681245526846789,-484.0
15620.0,-3.797790955218013,-524.0
15640.0,-3.913736668372019,-484.0
15660.0,-4.0290643571366305,-454.0
15680.0,-4.143755809932839,-490.0
15700.0,-4.257792915650716,-394.0
15720.0,-4.371157666509328,-436.0
15740.0,-4.483832160900315,-414.0
15760.0,-4.5957986062148635,-472.0
15780.0,-4.70703932165332,-496.0
15800.0,-4.817536741017156,-514.0
15820.0,-4.927273415482912,-466.0
15840.0,-5.036232016357612,-436.0
15860.0,-5.144395337815062,-464.0
15880.0,-5.2517462996129485,-348.0
15900.0,-5.3582679497899655,-408.0
15920.0,-5.463943467342683,-384.0
15940.0,-5.568756164881882,-366.0
15960.0,-5.67268949126756,-396.0
