i,j,r,pot,Fieldx,Fieldy
4,28,20.396078054371138,0.03363539841185881,0.008662115729200181,0.0008285470925937892
4,29,20.615528128088304,0.03271369616643833,0.008410641369515193,0.001006866169955739
4,30,20.8806130178211,0.03162166607194733,0.008114276019082912,0.001168357438351312
4,31,21.18962010041709,0.030376981289735705,0.007778485815218651,0.0013117358504684748
4,32,21.540659228538015,0.02899819437101038,0.007408891592690044,0.0014364982497731982
4,33,21.93171219946131,0.02750398479018931,0.007011024404124815,0.0015428430968610247
4,34,22.360679774997898,0.02591250817728833,0.006590127847749835,0.0016315562404365259
4,35,22.825424421026653,0.024240872309316257,0.006151012277855559,0.0017038797551574229
4,36,23.323807579381203,0.022504748666973485,0.005697959568860255,0.0017613784415534683
4,37,23.853720883753127,0.02071811542620932,0.005234672784775269,0.001805814923597368
4,38,24.413111231467404,0.01889311881977875,0.004764262805547768,0.0018390403489347649
4,39,25.0,0.01704003472833979,0.00428926329383678,0.0018629041579961928
4,40,25.612496949731394,0.015167310503786363,0.0038116658508892303,0.0018791835919656046
4,41,26.248809496813376,0.013281667544408581,0.003332968335368347,0.0018895316556729602
4,42,26.90724809414742,0.011388247192440443,0.0028542307282287066,0.0018954410750646978
4,43,27.586228448267445,0.009490785394279186,0.002376134360388785,0.0018982212417422346
4,44,28.284271247461902,0.0075918047089559735,0.0018990416234961546,0.0018989850470979312
4,45,29.0,0.005692815300083323,0.0014230543834117346,0.0018986427173919409
4,46,29.732137494637012,0.003794519274172092,0.0009480701916269214,0.0018979001408888927
4,47,30.479501308256342,0.0018970150183055376,0.000473836054407538,0.001897259637086046
4,48,31.240998703626616,0.0,0.0,0.0009485075091527688
5,0,30.610455730027933,0.0,0.0,-0.0011849826731553032
5,1,29.832867780352597,0.0023699653463106064,0.0004729794765619637,-0.0023704900760284286
5,2,29.068883707497267,0.004740980152056857,0.0009465920868852323,-0.0023719176793220824
5,3,28.319604517012593,0.007113800704954772,0.001421415858640294,-0.0023738518284090295
5,4,27.586228448267445,0.009488683808874916,0.0018979325411739626,-0.0023756658065987694
5,5,26.870057685088806,0.01186513231815231,0.0023764762302111346,-0.0023764762302111346
5,6,26.1725046566048,0.014241636269297185,0.0028571783027017805,-0.0023751391744490143
5,7,25.495097567963924,0.01661541066705034,0.003339907860027875,-0.002370248501202702
5,8,24.839484696748443,0.01898213327170259,0.003824207336671245,-0.002360139021791389
5,9,24.20743687382041,0.021335688710633117,0.004309223617117143,-0.0023428978130820496
5,10,23.600847442411894,0.02366792889786669,0.004793635980326064,-0.0023163876487953348
5,11,23.021728866442675,0.025968464008223786,0.005275583517535626,-0.0022782869943575156
5,12,22.47220505424423,0.02822450288658172,0.005752596374047779,-0.0022261511699514843
5,13,21.95449840010015,0.030420766348126755,0.006221537219851081,-0.0021574988781811726
5,14,21.470910553583888,0.032539500642944065,0.006678561619990203,-0.002069927035980487
5,15,21.02379604162864,0.03456062042008773,0.007119108158838275,-0.0019612544571713034
5,16,20.615528128088304,0.03646200955728667,0.007537930770884934,-0.0018296911898211983
5,17,20.248456731316587,0.038220002799730125,0.007929186026052321,-0.001674025214920341
5,18,19.924858845171276,0.039810059987127354,0.008286586236108454,-0.0014938121250533641
5,19,19.6468827043885,0.041207627049836854,0.008603624344917817,-0.0012895472102243052
5,20,19.4164878389476,0.042389154407575964,0.008873868148078685,-0.0010627945509740847
5,21,19.235384061671343,0.04333321615178502,0.00909130977452911,-0.0008162461642150683
5,22,19.1049731745428,0.0440216467360061,0.009250743108661662,-0.0005536878527378081
5,23,19.026297590440446,0.04444059185726064,0.0093481298654151,-0.00027985826557373056
5,24,19.0,0.04458136326715356,0.009380908199363845,-2.0320252162170371e-07
5,25,19.026297590440446,0.04444099826230388,0.009348199573829409,0.00027945438181579615
5,26,19.1049731745428,0.04402245450352197,0.009250881660586404,0.0005532915180782305
5,27,19.235384061671343,0.04333441522614742,0.009091515445200683,0.0008158623621579743
5,28,19.4164878389476,0.04239072977920602,0.008874138362961626,0.0010624281913341888
5,29,19.6468827043885,0.041209558843479044,0.008603955694872944,0.001289203100267873
5,30,19.924858845171276,0.039812323578670275,0.00828697449753716,0.0014934949409572372
5,31,20.248456731316587,0.03822256896156457,0.007929626185754799,0.0016737394734073069
5,32,20.615528128088304,0.03646484463185566,0.007538417055736428,0.0018294412205862483
5,33,21.02379604162864,0.03456368652039207,0.0071196340702917565,0.001961044376326493
5,34,21.470910553583888,0.032542755879202676,0.006679119972974032,0.0020697607201120953
5,35,21.95449840010015,0.030424165080167882,0.006222120185935785,0.0021573799391278303
5,36,22.47220505424423,0.028227996000947015,0.005753195528995709,0.0022260829308779744
5,37,23.021728866442675,0.025971999218411933,0.005276189892919097,0.002278272467143688
5,38,23.600847442411894,0.02367145106665964,0.004794240118814044,0.002316429512460253
5,39,24.20743687382041,0.021339140193491427,0.004309815631253062,0.002342998393439077
5,40,24.839484696748443,0.018985454279781485,0.0038247769711349574,0.0023603002726551962
5,41,25.495097567963924,0.016618539648181035,0.0033404445570839186,0.002370471987199331
5,42,26.1725046566048,0.014244510305382823,0.0028576712704098013,0.0023754260555212446
5,43,26.870057685088806,0.011867687537138545,0.0023769145129619767,0.0023768272477317698
5,44,27.586228448267445,0.009490855809919284,0.0018983050925965692,0.0023760812711459064
5,45,28.319604517012593,0.007115524994846733,0.0014217116165710173,0.002374331609519814
5,46,29.068883707497267,0.004742192590879656,0.000946800049830577,0.0023724611972648383
5,47,29.832867780352597,0.0023706026003170555,0.0004730887812749966,0.002371096295439828
5,48,30.610455730027933,0.0,0.0,0.0011853013001585277
6,0,30.0,0.0,0.0,-0.0014212249252981417
6,1,29.206163733020468,0.0028424498505962834,0.0004716150299242899,-0.002843353128015551
6,2,28.42534080710379,0.005686706256031102,0.000944134290329867,-0.0028458894968684282
6,3,27.65863337187866,0.00853422884433314,0.0014184104110374698,-0.00284958856711801
6,4,26.90724809414742,0.011385883390267122,0.0018952051246187594,-0.0028537037124820204
6,5,26.1725046566048,0.01424163626929718,0.0023751391744490126,-0.00285717830270179
6,6,25.45584412271571,0.017100239995670702,0.0028586367544355023,-0.0028586367544355066
6,7,24.758836806279895,0.019958909778168193,0.0033458629483594446,-0.0028563768795947016
