time,f
648,-275.5741257524994
649,-275.5742723329305
650,-275.57441840254336
651,-275.5745639636842
652,-275.57470901868606
653,-275.5748535698682
654,-275.57499761953693
655,-275.5751411699852
656,-275.575284223493
657,-275.5754267823273
658,-275.57556884874214
659,-275.5757104249787
660,-275.5758515132655
661,-275.5759921158185
662,-275.57613223484094
663,-275.5762718725238
664,-275.57641103104555
665,-275.5765497125724
666,-275.5766879192584
667,-275.5768256532455
668,-275.5769629166635
669,-275.57709971163047
670,-275.57723604025233
671,-275.57737190462353
672,-275.57750730682653
673,-275.5776422489323
674,-275.5777767330004
675,-275.5779107610786
676,-275.57804433520363
677,-275.57817745740067
678,-275.57831012968376
679,-275.5784423540558
680,-275.5785741325085
681,-275.5787054670229
682,-275.5788363595685
683,-275.5789668121047
684,-275.5790968265794
685,-275.5792264049303
686,-275.57935554908426
687,-275.57948426095754
688,-275.57961254245606
689,-275.5797403954751
690,-275.5798678218997
691,-275.5799948236047
692,-275.5801214024546
693,-275.58024756030375
694,-275.58037329899656
695,-275.58049862036717
696,-275.58062352624006
697,-275.5807480184295
698,-275.58087209874043
699,-275.5809957689674
700,-275.5811190308958
701,-275.58124188630126
702,-275.5813643369497
703,-275.5814863845976
704,-275.58160803099213
705,-275.58172927787103
706,-275.58185012696254
707,-275.5819705799859
708,-275.58209063865104
709,-275.5822103046588
710,-275.58232957970097
711,-275.5824484654602
712,-275.58256696361025
713,-275.58268507581613
714,-275.5828028037338
715,-275.58292014901053
716,-275.58303711328483
717,-275.5831536981866
718,-275.5832699053371
719,-275.583385736349
720,-275.5835011928265
721,-275.58361627636526
722,-275.5837309885528
723,-275.583845330968
724,-275.5839593051817
725,-275.58407291275614
726,-275.5841861552459
727,-275.584299034197
728,-275.5844115511476
729,-275.5845237076276
730,-275.5846355051593
731,-275.5847469452568
732,-275.58485802942636
733,-275.5849687591665
734,-275.5850791359677
735,-275.5851891613131
736,-275.58529883667796
737,-275.5854081635299
738,-275.58551714332896
739,-275.58562577752764
740,-275.585734067571
741,-275.5858420148967
742,-275.5859496209349
743,-275.58605688710827
744,-275.5861638148326
745,-275.5862704055161
746,-275.5863766605597
747,-275.58648258135753
748,-275.5865881692962
749,-275.5866934257554
750,-275.58679835210785
751,-275.5869029497192
752,-275.5870072199482
753,-275.58711116414656
754,-275.5872147836593
755,-275.58731807982457
756,-275.58742105397357
757,-275.587523707431
758,-275.58762604151474
759,-275.587728057536
760,-275.58782975679947
761,-275.58793114060313
762,-275.58803221023857
763,-275.58813296699066
764,-275.58823341213804
765,-275.5883335469529
766,-275.58843337270093
767,-275.58853289064155
768,-275.58863210202793
769,-275.58873100810683
770,-275.58882961011886
771,-275.5889279092986
772,-275.5890259068742
773,-275.5891236040678
774,-275.58922100209566
775,-275.58931810216757
776,-275.5894149054878
777,-275.58951141325434
778,-275.58960762665924
779,-275.5897035468888
780,-275.58979917512335
781,-275.5898945125375
782,-275.5899895603
783,-275.59008431957375
784,-275.59017879151605
785,-275.5902729772785
786,-275.5903668780069
787,-275.59046049484164
788,-275.59055382891745
789,-275.59064688136334
790,-275.590739653303
791,-275.5908321458545
792,-275.59092436013043
793,-275.59101629723807
794,-275.5911079582794
795,-275.5911993443506
796,-275.591290456543
797,-275.59138129594237
798,-275.59147186362907
799,-275.59156216067873
800,-275.5916521881612
801,-275.5917419471415
802,-275.5918314386794
803,-275.5919206638294
804,-275.5920096236412
805,-275.5920983191593
806,-275.592186751423
807,-275.5922749214669
808,-275.5923628303204
809,-275.59245047900805
810,-275.59253786854947
811,-275.59262499995936
812,-275.5927118742476
813,-275.5927984924192
814,-275.5928848554744
815,-275.59297096440866
816,-275.5930568202126
817,-275.5931424238723
818,-275.5932277763689
819,-275.59331287867917
820,-275.59339773177487
821,-275.59348233662354
822,-275.59356669418776
823,-275.59365080542585
824,-275.59373467129143
825,-275.59381829273354
826,-275.59390167069694
827,-275.59398480612174
828,-275.5940676999437
829,-275.5941503530942
830,-275.5942327665002
831,-275.59431494108424
832,-275.59439687776455
833,-275.59447857745505
834,-275.5945600410655
835,-275.59464126950115
836,-275.59472226366324
837,-275.5948030244486
838,-275.59488355275005
839,-275.594963849456
840,-275.595043915451
841,-275.59512375161535
842,-275.5952033588251
843,-275.59528273795246
844,-275.59536188986544
845,-275.595440815428
846,-275.5955195155002
847,-275.59559799093813
848,-275.5956762425937
849,-275.595754271315
850,-275.59583207794634
851,-275.5959096633279
852,-275.5959870282962
853,-275.59606417368354
854,-275.59614110031885
855,-275.5962178090269
856,-275.59629430062876
857,-275.5963705759418
858,-275.59644663577956
859,-275.5965224809519
860,-275.5965981122648
861,-275.5966735305209
862,-275.59674873651875
863,-275.5968237310535
864,-275.5968985149167
865,-275.5969730888961
866,-275.5970474537759
867,-275.5971216103369
868,-275.5971955593561
869,-275.5972693016073
870,-275.5973428378603
871,-275.59741616888186
872,-275.5974892954351
873,-275.59756221827945
874,-275.5976349381714
875,-275.59770745586343
876,-275.59777977210507
877,-275.59785188764226
878,-275.59792380321767
879,-275.5979955195704
880,-275.59806703743664
881,-275.5981383575488
882,-275.59820948063634
883,-275.5982804074252
884,-275.59835113863824
885,-275.59842167499494
886,-275.5984920172116
887,-275.59856216600144
888,-275.59863212207426
889,-275.59870188613684
890,-275.59877145889277
891,-275.5988408410425
892,-275.59891003328335
893,-275.5989790363094
894,-275.59904785081187
895,-275.59911647747884
896,-275.59918491699517
897,-275.59925317004286
898,-275.59932123730084
899,-275.59938911944494
900,-275.5994568171481
901,-275.59952433108026
902,-275.59959166190833
903,-275.5996588102963
904,-275.5997257769053
905,-275.5997925623935
906,-275.59985916741607
907,-275.5999255926254
908,-275.5999918386711
909,-275.6000579061996
910,-275.60012379585487
911,-275.6001895082778
912,-275.6002550441066
913,-275.6003204039765
914,-275.6003855885203
915,-275.6004505983675
916,-275.60051543414534
917,-275.6005800964781
918,-275.60064458598737
919,-275.60070890329195
920,-275.600773049008
921,-275.6008370237492
922,-275.6009008281261
923,-275.60096446274696
924,-275.6010279282174
925,-275.60109122514007
926,-275.60115435411547
927,-275.6012173157411
928,-275.6012801106121
929,-275.60134273932096
930,-275.60140520245756
931,-275.6014675006094
932,-275.6015296343612
933,-275.60159160429544
934,-275.60165341099173
935,-275.6017150550276
936,-275.6017765369777
937,-275.60183785741447
938,-275.60189901690774
939,-275.6019600160251
940,-275.6020208553314
941,-275.60208153538923
942,-275.6021420567589
943,-275.6022024199981
944,-275.60226262566215
945,-275.6023226743042
946,-275.60238256647494
947,-275.6024423027224
948,-275.6025018835929
949,-275.6025613096298
950,-275.6026205813745
951,-275.60267969936615
952,-275.60273866414127
953,-275.60279747623446
954,-275.6028561361778
955,-275.60291464450125
956,-275.6029730017325
957,-275.60303120839694
958,-275.6030892650178
959,-275.6031471721161
960,-275.6032049302105
961,-275.6032625398178
962,-275.6033200014524
963,-275.6033773156264
964,-275.60343448285005
965,-275.6034915036313
966,-275.6035483784758
967,-275.6036051078874
968,-275.6036616923676
969,-275.6037181324158
970,-275.6037744285295
971,-275.6038305812039
972,-275.60388659093223
973,-275.60394245820567
974,-275.6039981835132
975,-275.60405376734195
976,-275.604109210177
977,-275.60416451250114
978,-275.60421967479556
979,-275.60427469753904
980,-275.60432958120873
981,-275.6043843262795
982,-275.60443893322434
983,-275.60449340251444
984,-275.6045477346188
985,-275.6046019300045
986,-275.6046559891369
987,-275.60470991247917
988,-275.6047637004928
989,-275.60481735363715
990,-275.6048708723697
991,-275.6049242571463
992,-275.6049775084207
993,-275.6050306266447
994,-275.60508361226846
995,-275.60513646574015
996,-275.6051891875061
997,-275.60524177801085
998,-275.6052942376971
999,-275.60534656700577
1000,-275.60539876637586
1001,-275.60545083624464
1002,-275.6055027770476
1003,-275.6055545892185
1004,-275.60560627318915
1005,-275.6056578293897
1006,-275.6057092582486
1007,-275.60576056019255
1008,-275.60581173564634
1009,-275.6058627850332
1010,-275.6059137087745
1011,-275.6059645072901
1012,-275.60601518099793
1013,-275.6060657303143
1014,-275.606116155654
1015,-275.6061664574297
1016,-275.606216636053
1017,-275.60626669193323
1018,-275.6063166254785
1019,-275.606366437095
1020,-275.60641612718746
1021,-275.6064656961589
1022,-275.60651514441065
1023,-275.6065644723425
1024,-275.6066136803526
1025,-275.60666276883757
1026,-275.60671173819225
1027,-275.6067605888101
1028,-275.6068093210828
1029,-275.6068579354006
1030,-275.60690643215224
1031,-275.6069548117246
1032,-275.6070030745034
1033,-275.60705122087245
1034,-275.6070992512143
1035,-275.60714716590985
1036,-275.6071949653384
1037,-275.607242649878
1038,-275.6072902199048
1039,-275.6073376757937
1040,-275.6073850179182
1041,-275.60743224665003
1042,-275.60747936235964
1043,-275.6075263654159
1044,-275.60757325618636
1045,-275.6076200350369
1046,-275.60766670233215
1047,-275.60771325843507
1048,-275.6077597037074
1049,-275.60780603850935
1050,-275.6078522631997
1051,-275.6078983781357
1052,-275.6079443836735
1053,-275.6079902801675
1054,-275.60803606797094
1055,-275.60808174743545
1056,-275.6081273189114
1057,-275.60817278274783
1058,-275.6082181392923
1059,-275.60826338889115
1060,-275.60830853188907
1061,-275.6083535686297
1062,-275.6083984994551
1063,-275.6084433247063
1064,-275.60848804472255
1065,-275.6085326598421
1066,-275.60857717040176
1067,-275.6086215767371
1068,-275.6086658791822
1069,-275.60871007807
1070,-275.60875417373205
1071,-275.6087981664987
1072,-275.60884205669885
1073,-275.60888584466034
1074,-275.60892953070953
1075,-275.6089731151716
1076,-275.60901659837043
1077,-275.6090599806287
1078,-275.6091032622677
1079,-275.60914644360776
1080,-275.6091895249675
1081,-275.6092325066648
1082,-275.6092753890159
1083,-275.6093181723362
1084,-275.60936085693953
1085,-275.6094034431388
1086,-275.60944593124526
1087,-275.60948832156953
1088,-275.6095306144207
1089,-275.6095728101066
1090,-275.6096149089342
1091,-275.6096569112089
1092,-275.6096988172352
1093,-275.6097406273162
1094,-275.6097823417542
1095,-275.6098239608499
1096,-275.60986548490314
1097,-275.6099069142125
1098,-275.6099482490754
1099,-275.6099894897882
1100,-275.610030636646
1101,-275.6100716899429
1102,-275.6101126499718
1103,-275.6101535170245
1104,-275.61019429139174
1105,-275.610234973363
1106,-275.61027556322676
1107,-275.6103160612704
1108,-275.6103564677802
1109,-275.61039678304127
1110,-275.6104370073378
1111,-275.61047714095275
1112,-275.61051718416803
1113,-275.6105571372645
1114,-275.61059700052203
1115,-275.6106367742193
1116,-275.6106764586339
1117,-275.61071605404265
1118,-275.6107555607209
1119,-275.61079497894343
1120,-275.61083430898344
1121,-275.6108735511136
1122,-275.6109127056053
1123,-275.61095177272887
1124,-275.61099075275376
1125,-275.6110296459483
1126,-275.6110684525798
1127,-275.61110717291467
1128,-275.61114580721824
1129,-275.61118435575486
1130,-275.6112228187879
1131,-275.6112611965797
1132,-275.61129948939157
1133,-275.6113376974839
1134,-275.61137582111627
1135,-275.611413860547
1136,-275.61145181603354
1137,-275.6114896878325
1138,-275.6115274761993
1139,-275.6115651813887
1140,-275.6116028036542
1141,-275.6116403432486
1142,-275.61167780042354
1143,-275.61171517543
1144,-275.6117524685177
1145,-275.61178967993567
1146,-275.6118268099319
1147,-275.61186385875357
1148,-275.6119008266468
1149,-275.6119377138568
1150,-275.6119745206279
1151,-275.6120112472037
1152,-275.6120478938267
1153,-275.6120844607385
1154,-275.61212094817984
1155,-275.61215735639064
1156,-275.6121936856098
1157,-275.6122299360755
1158,-275.61226610802487
1159,-275.6123022016942
1160,-275.612338217319
1161,-275.6123741551339
1162,-275.61241001537263
1163,-275.612445798268
1164,-275.6124815040521
1165,-275.6125171329559
1166,-275.61255268520995
1167,-275.61258816104345
1168,-275.6126235606852
1169,-275.61265888436293
1170,-275.61269413230355
1171,-275.6127293047332
1172,-275.61276440187703
1173,-275.6127994239597
1174,-275.6128343712047
1175,-275.6128692438349
1176,-275.61290404207233
1177,-275.61293876613803
1178,-275.61297341625254
1179,-275.6130079926354
1180,-275.6130424955053
1181,-275.6130769250803
1182,-275.6131112815775
1183,-275.6131455652135
1184,-275.61317977620365
1185,-275.61321391476287
1186,-275.61324798110525
1187,-275.613281975444
1188,-275.61331589799164
1189,-275.6133497489599
1190,-275.6133835285596
1191,-275.6134172370011
1192,-275.61345087449376
1193,-275.61348444124627
1194,-275.61351793746644
1195,-275.6135513633616
1196,-275.61358471913803
1197,-275.61361800500146
1198,-275.6136512211567
1199,-275.6136843678082
1200,-275.6137174451592
1201,-275.6137504534124
1202,-275.61378339276996
1203,-275.613816263433
1204,-275.61384906560215
1205,-275.6138817994771
1206,-275.6139144652571
1207,-275.61394706314036
1208,-275.61397959332476
1209,-275.61401205600714
1210,-275.61404445138385
1211,-275.61407677965036
1212,-275.6141090410015
1213,-275.61414123563156
1214,-275.6141733637339
1215,-275.6142054255014
1216,-275.61423742112595
1217,-275.6142693507992
1218,-275.61430121471176
1219,-275.6143330130536
1220,-275.6143647460142
1221,-275.6143964137822
1222,-275.6144280165456
1223,-275.6144595544919
1224,-275.6144910278075
1225,-275.6145224366786
1226,-275.61455378129057
1227,-275.6145850618281
1228,-275.61461627847524
1229,-275.6146474314154
1230,-275.6146785208312
1231,-275.6147095469049
1232,-275.6147405098179
1233,-275.61477140975103
1234,-275.6148022468844
1235,-275.61483302139766
1236,-275.61486373346963
1237,-275.6148943832786
1238,-275.61492497100227
1239,-275.61495549681763
1240,-275.6149859609011
1241,-275.61501636342837
1242,-275.6150467045747
1243,-275.61507698451453
1244,-275.615107203422
1245,-275.6151373614702
1246,-275.61516745883193
1247,-275.61519749567935
1248,-275.6152274721839
1249,-275.6152573885165
1250,-275.6152872448475
1251,-275.61531704134643
1252,-275.6153467781827
