i,j,phi,Ex,Ey
6,36,0.0007491977725687369,6.835602210231807e-05,-0.00013709607402126364
6,37,0.0006809147385305782,6.79591570109371e-05,-0.00012350885337887948
6,38,0.0006132794585468627,6.713179603173169e-05,-0.00011032833617515502
6,39,0.0005466511464671148,6.600971350440073e-05,-9.759884770870308e-05
6,40,0.00048126003153806124,6.47141279438051e-05,-8.533539163704928e-05
6,41,0.0004172228905795046,6.335043522498395e-05,-7.352933727197683e-05
6,42,0.00035455916108809334,6.200809305642488e-05,-6.215346465104367e-05
6,43,0.00029320670446665484,6.076125133141558e-05,-5.1166260495844856e-05
6,44,0.00023303665842526217,5.966979793745645e-05,-4.051546518237752e-05
6,45,0.00017386710859174193,5.878056589176701e-05,-3.01409360176089e-05
6,46,0.00011547552664172815,5.812851576076347e-05,-1.997692722405791e-05
6,47,5.7610077070215e-05,5.7737763320864077e-05,-9.953902494294867e-06
6,48,0.0,2.88050385351075e-05,-0.0
7,0,0.0,-3.34755429411464e-05,-0.0
7,1,6.69510858822928e-05,-6.714788805997071e-05,-1.0009944669758239e-05
7,2,0.00013429577611994141,-6.771726527906854e-05,-2.011134813464331e-05
7,3,0.0002023856164404299,-6.862744444393259e-05,-3.039078232779113e-05
7,4,0.0002715506650078066,-6.985106778626157e-05,-4.0933143947082806e-05
7,5,0.00034208775201295303,-7.134838078149756e-05,-5.1820484816383005e-05
7,6,0.0004142474265708017,-7.306574456211713e-05,-6.313040646707633e-05
7,7,0.0004882192411371873,-7.493385022330212e-05,-7.493385022330206e-05
7,8,0.0005641151270174059,-7.686576878085665e-05,-8.729210238967756e-05
7,9,0.0006419507786989006,-7.875504268903055e-05,-0.00010025283203799352
7,10,0.000721625212395467,-8.047412042256388e-05,-0.00011384499769135118
7,11,0.0008028990195440283,-8.187355364701012e-05,-0.00012807251487378913
7,12,0.0008853723196894873,-8.278250887639181e-05,-0.00014290668966268464
7,13,0.000968464037296812,-8.301127264933315e-05,-0.0001582776175857846
7,14,0.0010513948649881536,-8.235651494800514e-05,-0.00017406504382154957
7,15,0.0011331770671928222,-8.061006318161625e-05,-0.00019008958875685425
7,16,0.001212614991351386,-7.757175235957202e-05,-0.00020610574271200045
7,17,0.0012883205719119663,-7.306647167867148e-05,-0.0002217985541620646
7,18,0.001358747934708729,-6.696475941047491e-05,-0.00023678633299410755
7,19,0.001422250090732916,-5.92052120877767e-05,-0.0002506317389087435
7,20,0.0014771583588842824,-4.9815709989743575e-05,-0.0002628630476448348
7,21,0.0015218815107124032,-3.89293456289579e-05,-0.00027300594807963584
7,22,0.0015550170501421982,-2.6790480212323525e-05,-0.0002806238932310779
7,23,0.0015754624711370503,-1.3747092573081297e-05,-0.00028536218511674956
