t,x,y
708,2.2,2.4
709,2.2,2.8
710,2.4,3.2
711,2.8,3.2
712,3.2,3.4
713,3.2,3.8
714,3.4,4.2
715,3.8,4.2
716,4.2,4.4
717,4.2,4.8
718,4.4,5.2
719,4.8,5.2
720,5.2,5.4
721,5.2,5.8
722,5.4,6.2
723,5.8,6.2
724,6.2,6.4
725,6.2,6.8
726,6.4,7.2
727,6.8,7.2
728,7.2,7.4
729,7.2,7.8
730,7.4,8.2
731,7.8,8.2
732,8.2,8.4
733,8.2,8.8
734,8.4,9.2
735,8.8,9.2
736,9.2,9.4
737,9.2,9.8
738,9.4,10.2
739,9.8,10.2
740,10.2,10.4
741,10.2,10.8
742,10.4,11.2
743,10.8,11.2
744,11.2,11.4
745,11.2,11.8
746,11.4,12.2
747,11.8,12.2
748,12.2,12.4
749,12.2,12.8
750,12.4,13.2
751,12.8,13.2
752,13.2,13.4
753,13.2,13.8
754,13.4,14.2
755,13.8,14.2
756,14.2,14.4
757,14.2,14.8
758,14.4,15.2
759,14.8,15.2
760,15.2,15.4
761,15.2,15.8
762,15.4,16.2
763,15.8,16.2
764,16.2,16.4
765,16.2,16.8
766,16.4,17.2
767,16.8,17.2
768,17.2,17.4
769,17.2,17.8
770,17.4,18.2
771,17.8,18.2
772,18.2,18.4
773,18.2,18.8
774,18.4,19.2
775,18.8,19.2
776,19.2,19.4
777,19.2,19.8
778,19.4,20.2
779,19.8,20.2
780,20.2,20.4
781,20.2,20.8
782,20.4,21.2
783,20.8,21.2
784,21.2,21.4
785,21.2,21.8
786,21.4,22.2
787,21.8,22.2
788,22.2,22.4
789,22.2,22.8
790,22.4,23.2
791,22.8,23.2
792,23.2,23.4
793,23.2,23.8
794,23.4,24.2
795,23.8,24.2
796,24.2,24.4
797,24.2,24.8
798,24.4,25.2
799,24.8,25.2
800,25.2,25.4
801,25.2,25.8
802,25.4,26.2
803,25.8,26.2
804,26.2,26.4
805,26.2,26.8
806,26.4,27.2
807,26.8,27.2
808,27.2,27.4
809,27.2,27.8
810,27.4,28.2
811,27.8,28.2
812,28.2,28.4
813,28.2,28.8
814,28.4,29.2
815,28.8,29.2
816,29.2,29.4
817,29.2,29.8
818,29.4,30.2
819,29.8,30.2
820,30.2,30.4
821,30.2,30.8
822,30.4,31.2
823,30.8,31.2
824,31.2,31.4
825,31.2,31.8
826,31.4,32.2
827,31.8,32.2
828,32.2,32.4
829,32.2,32.8
